qid,doc_id,og_score,p_score,score_diff,percent_change,og_rank,p_rank,change_in_rank
1089763,7081592,111.11198425292967,111.46508026123048,0.3530960083007812,0.3177839102369114,1,1,0
1089763,7081591,110.66625213623048,111.07010650634766,0.4038543701171875,0.3649300146353936,2,2,0
1089763,7081593,109.7898178100586,109.36031341552734,-0.42950439453125,-0.3912060363141436,3,8,-5
1089763,7081597,108.55207061767578,108.35995483398438,-0.1921157836914062,-0.1769803031837548,4,22,-18
1089763,7081594,107.23123931884766,107.65642547607422,0.4251861572265625,0.3965133294433808,5,39,-34
1089763,7081599,105.8594207763672,105.18488311767578,-0.6745376586914062,-0.6372013503799511,6,85,-79
1089763,7081598,103.57003784179688,104.33928680419922,0.7692489624023438,0.7427331093355114,7,95,-88
1089763,639115,101.66520690917967,109.0362319946289,7.371025085449219,7.250292710301527,8,12,-4
1089763,7888958,101.13953399658205,108.3507843017578,7.211250305175781,7.13000151396731,9,23,-14
1089763,1047344,101.11043548583984,107.10611724853516,5.9956817626953125,5.929834773122885,10,48,-38
1089763,639114,101.07654571533205,109.75189971923828,8.67535400390625,8.582954574188925,11,6,5
1089763,228989,100.90972137451172,106.92269134521484,6.012969970703125,5.958761840583093,12,50,-38
1089763,1687790,100.80835723876952,106.21552276611328,5.40716552734375,5.363806806747792,13,65,-52
1089763,2082445,100.7035140991211,105.8221206665039,5.1186065673828125,5.082848014960668,14,73,-59
1089763,5837307,100.69889831542967,109.60089111328124,8.901992797851562,8.840208727971303,15,7,8
1089763,5770835,100.6939697265625,105.11322784423828,4.419258117675781,4.38880116622317,16,87,-71
1089763,7096850,100.6725082397461,109.11949157714844,8.446983337402344,8.390556155893437,17,10,7
1089763,4947709,100.64290618896484,110.2144775390625,9.571571350097656,9.510428218483964,18,4,14
1089763,4947706,100.63427734375,109.94694519042967,9.312667846679688,9.253971998893736,19,5,14
1089763,5901647,100.62255859375,108.649658203125,8.027099609375,7.977435399733107,20,17,3
1089763,3114667,100.48577880859376,109.0828628540039,8.597084045410156,8.555523127094395,21,11,10
1089763,4947708,100.48524475097656,110.3011703491211,9.815925598144531,9.768524346505249,22,3,19
1089763,6032332,100.42150115966795,108.84063720703124,8.419136047363281,8.383798240555118,23,15,8
1089763,639107,100.3595962524414,107.39867401123048,7.039077758789063,7.013856194761073,24,41,-17
